plz,stadt,mietstufe,max_kalt_1p,heiz_pausch_1p,klima_pausch_1p,gesamt_deckel_1p,amt_name,amt_adresse,amt_email,slug,bundesland,seo_title,seo_meta_desc,daten_valide
30159,Hannover,4,485.00,54.00,18.00,557.00,Fachbereich Soziales,"Hamburger Allee 25, 30161 Hannover",wohngeld@hannover-stadt.de,hannover,Niedersachsen,Wohngeld Rechner Hannover | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Hannover (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
28195,Bremen,5,505.00,54.00,18.00,577.00,Amt für Soziale Dienste,"Bahnhofplatz 29, 28195 Bremen",wohngeld@afsd.bremen.de,bremen,Bremen,Wohngeld Rechner Bremen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Bremen (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
04103,Leipzig,3,430.00,54.00,18.00,502.00,Sozialamt Leipzig,"Otto-Schill-Straße 2, 04109 Leipzig",sozialamt@leipzig.de,leipzig,Sachsen,Wohngeld Rechner Leipzig | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Leipzig (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
01067,Dresden,4,475.00,54.00,18.00,547.00,Sozialamt Dresden,"Junghansstraße 2, 01069 Dresden",sozialamt@dresden.de,dresden,Sachsen,Wohngeld Rechner Dresden | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Dresden (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
52062,Aachen,5,510.00,54.00,18.00,582.00,Wohngeldstelle Aachen,"Hackländerstraße 1, 52064 Aachen",wohngeld@mail.aachen.de,aachen,Nordrhein-Westfalen,Wohngeld Rechner Aachen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Aachen (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
68161,Mannheim,5,525.00,54.00,18.00,597.00,Fachbereich Jugend und Soziales,"K7, 68159 Mannheim",wohngeld@mannheim.de,mannheim,Baden-Württemberg,Wohngeld Rechner Mannheim | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Mannheim (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
48143,Münster,5,540.00,54.00,18.00,612.00,Sozialamt Münster,"Hafenstraße 8, 48153 Münster",wohngeld@stadt-muenster.de,muenster,Nordrhein-Westfalen,Wohngeld Rechner Münster | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Münster (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
46045,Oberhausen,3,425.00,54.00,18.00,497.00,Bereich Soziales,"Schwartzstraße 72, 46045 Oberhausen",soziales@oberhausen.de,oberhausen,Nordrhein-Westfalen,Wohngeld Rechner Oberhausen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Oberhausen (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
90403,Nürnberg,4,490.00,54.00,18.00,562.00,Amt für Existenzsicherung,"Dietzstraße 4, 90403 Nürnberg",sozialamt@stadt.nuernberg.de,nuernberg,Bayern,Wohngeld Rechner Nürnberg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Nürnberg (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
42103,Wuppertal,4,460.00,54.00,18.00,532.00,Ressort Soziales,"Friedrich-Engels-Allee 76, 42285 Wuppertal",wohngeld@stadt.wuppertal.de,wuppertal,Nordrhein-Westfalen,Wohngeld Rechner Wuppertal | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Wuppertal (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
38100,Braunschweig,4,455.00,54.00,18.00,527.00,Fachbereich Soziales,"Naumburgstraße 23, 38124 Braunschweig",sozialamt@braunschweig.de,braunschweig,Niedersachsen,Wohngeld Rechner Braunschweig | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Braunschweig (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
47051,Duisburg,3,440.00,54.00,18.00,512.00,Amt für Soziales und Wohnen,"Friedrich-Wilhelm-Straße 80, 47051 Duisburg",soziales@stadt-duisburg.de,duisburg,Nordrhein-Westfalen,Wohngeld Rechner Duisburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Duisburg (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
53111,Bonn,6,580.00,54.00,18.00,652.00,Amt für Soziales und Wohnen,"Berliner Platz 2, 53111 Bonn",wohngeld@bonn.de,bonn,Nordrhein-Westfalen,Wohngeld Rechner Bonn | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Bonn (Mietstufe 6). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
41061,Mönchengladbach,3,420.00,54.00,18.00,492.00,Sozialamt Mönchengladbach,"Fliethstraße 94, 41061 Mönchengladbach",wohngeld@moenchengladbach.de,moenchengladbach,Nordrhein-Westfalen,Wohngeld Rechner Mönchengladbach | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Mönchengladbach (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
79098,Freiburg,6,610.00,54.00,18.00,682.00,Amt für Soziales und Senioren,"Fehrenbachallee 12, 79106 Freiburg",sozialamt@stadt.freiburg.de,freiburg,Baden-Württemberg,Wohngeld Rechner Freiburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Freiburg (Mietstufe 6). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
09111,Chemnitz,2,400.00,54.00,18.00,472.00,Sozialamt Chemnitz,"Bahnhofstraße 53, 09111 Chemnitz",sozialamt@stadt-chemnitz.de,chemnitz,Sachsen,Wohngeld Rechner Chemnitz | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Chemnitz (Mietstufe 2). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
39104,Magdeburg,3,435.00,54.00,18.00,507.00,Sozial- und Wohnungsamt,"Alter Markt 6, 39104 Magdeburg",wohnungsamt@stadt.magdeburg.de,magdeburg,Sachsen-Anhalt,Wohngeld Rechner Magdeburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Magdeburg (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
65183,Wiesbaden,5,530.00,54.00,18.00,602.00,Amt für Soziale Arbeit,"Konradinerallee 11, 65189 Wiesbaden",wohngeld@wiesbaden.de,wiesbaden,Hessen,Wohngeld Rechner Wiesbaden | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Wiesbaden (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
45881,Gelsenkirchen,3,415.00,54.00,18.00,487.00,Referat Soziales,"Alfred-Zingler-Straße 8, 45881 Gelsenkirchen",wohngeld@gelsenkirchen.de,gelsenkirchen,Nordrhein-Westfalen,Wohngeld Rechner Gelsenkirchen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Gelsenkirchen (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
24103,Kiel,4,470.00,54.00,18.00,542.00,Amt für Wohnen und Soziales,"Andreas-Gayk-Straße 31, 24103 Kiel",sozialamt@kiel.de,kiel,Schleswig-Holstein,Wohngeld Rechner Kiel | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Kiel (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
41460,Neuss,4,450.00,54.00,18.00,522.00,Sozialamt Neuss,"Michaelstraße 50, 41460 Neuss",sozialamt@stadt.neuss.de,neuss,Nordrhein-Westfalen,Wohngeld Rechner Neuss | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Neuss (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
97070,Würzburg,5,500.00,54.00,18.00,572.00,Amt für Soziale Leistungen,"Karmelitenstraße 4, 97070 Würzburg",sozialamt@stadt.wuerzburg.de,wuerzburg,Bayern,Wohngeld Rechner Würzburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Würzburg (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
67059,Ludwigshafen,4,460.00,54.00,18.00,532.00,Bereich Soziales,"Westendstraße 12, 67059 Ludwigshafen",soziales@ludwigshafen.de,ludwigshafen,Rheinland-Pfalz,Wohngeld Rechner Ludwigshafen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Ludwigshafen (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
33602,Bielefeld,4,475.00,54.00,18.00,547.00,Amt für soziale Leistungen,"Ravensberger Str. 74, 33602 Bielefeld",sozialamt@bielefeld.de,bielefeld,Nordrhein-Westfalen,Wohngeld Rechner Bielefeld | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Bielefeld (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
58095,Hagen,3,410.00,54.00,18.00,482.00,Fachbereich Soziales,"Rathausstraße 11, 58095 Hagen",sozialamt@stadt-hagen.de,hagen,Nordrhein-Westfalen,Wohngeld Rechner Hagen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Hagen (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
56068,Koblenz,4,480.00,54.00,18.00,552.00,"Amt für Jugend, Familie und Soziales","Bahnhofplatz 10, 56068 Koblenz",sozialamt@stadt.koblenz.de,koblenz,Rheinland-Pfalz,Wohngeld Rechner Koblenz | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Koblenz (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
35390,Gießen,4,490.00,54.00,18.00,562.00,Wohngeldstelle Gießen,"Ostanlage 25, 35390 Gießen",wohngeld@giessen.de,giessen,Hessen,Wohngeld Rechner Gießen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Gießen (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
76133,Karlsruhe,5,535.00,54.00,18.00,607.00,Sozial- und Jugendbehörde,"Scheffelstraße 2, 76133 Karlsruhe",sozialamt@sjb.karlsruhe.de,karlsruhe,Baden-Württemberg,Wohngeld Rechner Karlsruhe | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Karlsruhe (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
73230,Esslingen,5,520.00,54.00,18.00,592.00,Sozialamt Esslingen,"Küferstraße 20, 73728 Esslingen",sozialamt@esslingen.de,esslingen,Baden-Württemberg,Wohngeld Rechner Esslingen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Esslingen (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
64283,Darmstadt,5,515.00,54.00,18.00,587.00,Amt für Soziales und Prävention,"Grafenstraße 30, 64283 Darmstadt",soziales@darmstadt.de,darmstadt,Hessen,Wohngeld Rechner Darmstadt | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Darmstadt (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
93047,Regensburg,5,545.00,54.00,18.00,617.00,Amt für Soziales,"Johannisstraße 4, 93047 Regensburg",sozialamt@regensburg.de,regensburg,Bayern,Wohngeld Rechner Regensburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Regensburg (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
54290,Trier,4,485.00,54.00,18.00,557.00,Amt für Soziales und Wohnen,"Am Augustinerhof, 54290 Trier",sozialamt@trier.de,trier,Rheinland-Pfalz,Wohngeld Rechner Trier | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Trier (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
95444,Bayreuth,4,470.00,54.00,18.00,542.00,Amt für soziale Angelegenheiten,"Luitpoldplatz 13, 95444 Bayreuth",sozialamt@stadt.bayreuth.de,bayreuth,Bayern,Wohngeld Rechner Bayreuth | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Bayreuth (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
63065,Offenbach,4,495.00,54.00,18.00,567.00,Amt für Soziales und Wohnen,"Berliner Str. 60, 63065 Offenbach",sozialamt@offenbach.de,offenbach,Hessen,Wohngeld Rechner Offenbach | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Offenbach (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
74072,Heilbronn,5,510.00,54.00,18.00,582.00,Amt für Familie und Soziales,"Schützenstraße 15, 74072 Heilbronn",sozialamt@heilbronn.de,heilbronn,Baden-Württemberg,Wohngeld Rechner Heilbronn | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Heilbronn (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
96047,Bamberg,5,525.00,54.00,18.00,597.00,Sozialreferat Bamberg,"Hauptwachstraße 3, 96047 Bamberg",sozialamt@stadt.bamberg.de,bamberg,Bayern,Wohngeld Rechner Bamberg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Bamberg (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
55116,Mainz,5,540.00,54.00,18.00,612.00,Amt für Soziales,"Jockel-Fuchs-Platz 1, 55116 Mainz",sozialamt@stadt.mainz.de,mainz,Rheinland-Pfalz,Wohngeld Rechner Mainz | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Mainz (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
94032,Passau,4,480.00,54.00,18.00,552.00,Amt für soziale Dienste,"Vornholzstraße 40, 94032 Passau",sozialamt@passau.de,passau,Bayern,Wohngeld Rechner Passau | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Passau (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
85049,Ingolstadt,5,530.00,54.00,18.00,602.00,Amt für Soziales,"Spitalhofstraße 3, 85049 Ingolstadt",sozialamt@ingolstadt.de,ingolstadt,Bayern,Wohngeld Rechner Ingolstadt | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Ingolstadt (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
78462,Konstanz,6,605.00,54.00,18.00,677.00,Amt für Soziales,"Untere Laube 24, 78462 Konstanz",sozialamt@konstanz.de,konstanz,Baden-Württemberg,Wohngeld Rechner Konstanz | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Konstanz (Mietstufe 6). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
36037,Fulda,4,475.00,54.00,18.00,547.00,Sozialamt Fulda,"Schlossstraße 1, 36037 Fulda",sozialamt@fulda.de,fulda,Hessen,Wohngeld Rechner Fulda | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Fulda (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
23560,Lübeck,4,465.00,54.00,18.00,537.00,Bereich Soziales und Wohnen,"Kronsforder Allee 2-6, 23560 Lübeck",sozialamt@luebeck.de,luebeck,Schleswig-Holstein,Wohngeld Rechner Lübeck | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Lübeck (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
69115,Heidelberg,6,590.00,54.00,18.00,662.00,Amt für Soziales und Senioren,"Bergheimer Str. 147, 69115 Heidelberg",sozialamt@heidelberg.de,heidelberg,Baden-Württemberg,Wohngeld Rechner Heidelberg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Heidelberg (Mietstufe 6). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
99084,Erfurt,3,425.00,54.00,18.00,497.00,Sozial- und Jugendamt,"Juri-Gagarin-Ring 150, 99084 Erfurt",sozialamt@erfurt.de,erfurt,Thüringen,Wohngeld Rechner Erfurt | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Erfurt (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
32423,Minden,3,410.00,54.00,18.00,482.00,Bereich Soziales,"Kleiner Domhof 17, 32423 Minden",sozialamt@minden.de,minden,Nordrhein-Westfalen,Wohngeld Rechner Minden | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Minden (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
49074,Osnabrück,4,470.00,54.00,18.00,542.00,Fachbereich Soziales,"Natruper-Tor-Wall 5, 49074 Osnabrück",sozialamt@osnabrueck.de,osnabrueck,Niedersachsen,Wohngeld Rechner Osnabrück | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Osnabrück (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
66113,Saarbrücken,4,485.00,54.00,18.00,557.00,Amt für Soziales und Prävention,"Europaallee 5, 66113 Saarbrücken",sozialamt@saarbruecken.de,saarbruecken,Saarland,Wohngeld Rechner Saarbrücken | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Saarbrücken (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
26121,Oldenburg,4,460.00,54.00,18.00,532.00,Amt für Soziales,"Pferdemarkt 14, 26121 Oldenburg",sozialamt@stadt-oldenburg.de,oldenburg,Niedersachsen,Wohngeld Rechner Oldenburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Oldenburg (Mietstufe 4). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
06108,"Halle (Saale)",3,430.00,54.00,18.00,502.00,Fachbereich Soziales,"Am Thälchen 1, 06108 Halle (Saale)",soziales@halle.de,halle,Sachsen-Anhalt,Wohngeld Rechner Halle (Saale) | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Halle (Saale) (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
86153,Augsburg,5,515.00,54.00,18.00,587.00,Amt für Soziale Leistungen,"Blücherstraße 10, 86153 Augsburg",sozialamt@augsburg.de,augsburg,Bayern,Wohngeld Rechner Augsburg | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Augsburg (Mietstufe 5). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
57072,Siegen,3,420.00,54.00,18.00,492.00,Sozialamt Siegen,"Rathaus Siegen, 57072 Siegen",sozialamt@siegen.de,siegen,Nordrhein-Westfalen,Wohngeld Rechner Siegen | Hilfe bei Sperrzeit & Notlage,"Prüfen Sie Ihren Wohngeldanspruch für Siegen (Mietstufe 3). Erhalten Sie alle wichtigen Infos zur Notlage, Fristen und kopieren Sie einen formlosen Erstantrag sofort.",TRUE
